,cod,valor,periodo
315,43,1931,2000-01-15
316,42,1503,2000-01-15
317,41,2568,2000-01-15
318,35,5975,2000-01-15
319,33,2582,2000-01-15
320,32,826,2000-01-15
321,31,2531,2000-01-15
322,29,1206,2000-01-15
323,28,349,2000-01-15
324,27,553,2001-01-15
325,28,347,2001-01-15
326,29,1254,2001-01-15
327,31,2737,2001-01-15
328,32,817,2001-01-15
329,33,2719,2001-01-15
330,35,6972,2001-01-15
331,41,2543,2001-01-15
332,42,1562,2001-01-15
333,43,1864,2001-01-15
334,50,503,2001-01-15
335,51,713,2001-01-15
336,52,1358,2001-01-15
337,53,491,2001-01-15
338,11,323,2001-01-15
339,12,102,2001-01-15
340,13,275,2001-01-15
341,14,128,2001-01-15
342,15,811,2001-01-15
343,16,113,2001-01-15
344,17,288,2001-01-15
345,21,564,2001-01-15
346,22,405,2001-01-15
347,23,1366,2001-01-15
348,24,425,2001-01-15
349,25,445,2001-01-15
350,26,1353,2001-01-15
351,25,691,2002-01-15
352,11,382,2002-01-15
353,12,131,2002-01-15
354,13,334,2002-01-15
355,14,139,2002-01-15
356,15,949,2002-01-15
357,16,127,2002-01-15
358,17,310,2002-01-15
359,21,725,2002-01-15
360,22,505,2002-01-15
361,23,1522,2002-01-15
362,24,440,2002-01-15
363,26,1504,2002-01-15
364,27,591,2002-01-15
365,28,403,2002-01-15
366,29,1365,2002-01-15
367,31,2913,2002-01-15
368,32,929,2002-01-15
369,33,2819,2002-01-15
370,35,6475,2002-01-15
371,41,2667,2002-01-15
372,42,1694,2002-01-15
373,43,2136,2002-01-15
374,50,632,2002-01-15
375,51,861,2002-01-15
376,52,1522,2002-01-15
377,53,522,2002-01-15
378,28,394,2003-01-15
379,11,405,2003-01-15
380,12,102,2003-01-15
381,13,337,2003-01-15
382,14,85,2003-01-15
383,15,952,2003-01-15
384,16,116,2003-01-15
385,17,306,2003-01-15
386,21,742,2003-01-15
387,22,481,2003-01-15
388,23,1572,2003-01-15
389,24,422,2003-01-15
390,26,1439,2003-01-15
391,25,529,2003-01-15
392,27,524,2003-01-15
393,53,588,2003-01-15
394,52,1527,2003-01-15
395,51,741,2003-01-15
396,50,583,2003-01-15
397,43,2092,2003-01-15
398,42,1720,2003-01-15
399,41,2811,2003-01-15
400,35,7109,2003-01-15
401,33,2831,2003-01-15
402,32,820,2003-01-15
403,31,3072,2003-01-15
404,29,1320,2003-01-15
405,11,403,2004-01-15
406,53,508,2004-01-15
407,52,1659,2004-01-15
408,51,896,2004-01-15
409,50,683,2004-01-15
410,43,2176,2004-01-15
411,42,1862,2004-01-15
412,41,3147,2004-01-15
413,35,7182,2004-01-15
414,33,2881,2004-01-15
415,32,868,2004-01-15
416,31,3438,2004-01-15
417,29,1334,2004-01-15
418,28,442,2004-01-15
419,27,563,2004-01-15
420,26,1450,2004-01-15
421,25,656,2004-01-15
422,24,441,2004-01-15
423,23,1645,2004-01-15
424,22,528,2004-01-15
425,21,873,2004-01-15
426,17,391,2004-01-15
427,16,121,2004-01-15
428,15,955,2004-01-15
429,14,84,2004-01-15
430,13,401,2004-01-15
431,12,87,2004-01-15
432,53,532,2005-01-15
433,11,443,2005-01-15
434,12,98,2005-01-15
435,13,419,2005-01-15
436,14,107,2005-01-15
437,15,1035,2005-01-15
438,16,108,2005-01-15
439,17,364,2005-01-15
440,21,958,2005-01-15
441,22,575,2005-01-15
442,23,1764,2005-01-15
443,24,467,2005-01-15
444,25,680,2005-01-15
445,26,1457,2005-01-15
446,27,567,2005-01-15
447,28,387,2005-01-15
448,29,1765,2005-01-15
449,31,3509,2005-01-15
450,32,876,2005-01-15
451,33,2922,2005-01-15
452,35,7312,2005-01-15
453,41,3047,2005-01-15
454,42,1949,2005-01-15
455,43,2096,2005-01-15
456,50,703,2005-01-15
457,51,859,2005-01-15
458,52,1612,2005-01-15
459,22,709,2006-01-15
460,11,458,2006-01-15
461,12,94,2006-01-15
